area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1420,3.0,3.0,85.98
Plot  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1157,2.0,0.0,96.04
Super built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,703,2.0,0.0,40.86
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,950,2.0,1.0,45.47
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1420,3.0,2.0,71.67
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1739,3.0,0.0,234.06
Plot  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1605,4.0,2.0,87.64
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1090,2.0,0.0,60.63
Super built-up  Area,Ready To Move,Malleshwaram,4 BHK,GrnSpce,3062,5.0,1.0,330.36
Carpet  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,1244,3.0,0.0,146.59
Plot  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,980,2.0,2.0,74.98
Plot  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1100,2.0,2.0,117.46
Super built-up  Area,Ready To Move,Electronic City,1 BHK,GrnSpce,715,1.0,1.0,35.23
Plot  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1030,2.0,1.0,78.51
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1245,2.0,2.0,169.54
Plot  Area,Ready To Move,Hebbal,4 BHK,GrnSpce,2854,4.0,0.0,235.34
Super built-up  Area,Ready To Move,Hebbal,4 BHK,GrnSpce,2285,4.0,2.0,199.92
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1185,2.0,3.0,74.89
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,GrnSpce,3157,4.0,2.0,178.7
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1773,3.0,3.0,92.57
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,951,2.0,1.0,65.84
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,901,2.0,0.0,44.33
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,1029,2.0,1.0,42.45
Super built-up  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,537,1.0,0.0,52.4
Super built-up  Area,Ready To Move,Kaggadasapura,5 BHK,GrnSpce,4251,5.0,2.0,211.26
Super built-up  Area,Ready To Move,KR Puram,1 BHK,GrnSpce,663,1.0,2.0,34.4
Built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1888,3.0,2.0,111.44
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1550,3.0,1.0,125.32
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1011,2.0,1.0,114.89
Super built-up  Area,Ready To Move,KR Puram,4 BHK,GrnSpce,2208,4.0,3.0,138.43
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1453,4.0,3.0,66.34
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1626,3.0,1.0,124.02
Carpet  Area,Ready To Move,Sarjapur Road,4 BHK,GrnSpce,2537,4.0,1.0,117.42
Plot  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1903,3.0,0.0,148.76
