area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,951.0,2.0,1.0,65.84,2,6923.238696109359
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1912.0,3.0,1.0,120.96,3,6326.359832635983
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1949.0,3.0,3.0,127.99,3,6566.957414058492
Plot  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1516.0,3.0,0.0,102.11,3,6735.488126649077
Plot  Area,Ready To Move,Bannerghatta Road,1 BHK,GrnSpce,508.0,2.0,1.0,34.16,1,6724.409448818897
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,934.0,2.0,2.0,57.31,2,6135.9743040685225
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,900.0,2.0,2.0,53.33,2,5925.555555555556
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,900.0,3.0,0.0,57.85,2,6427.777777777777
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1243.0,3.0,0.0,84.09,2,6765.084473049074
Plot  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1777.0,3.0,3.0,122.14,3,6873.3821046707935
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1701.0,4.0,3.0,112.16,3,6593.768371546149
Carpet  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,956.0,2.0,3.0,65.87,2,6890.167364016736
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1514.0,3.0,1.0,99.54,3,6574.636723910172
Super built-up  Area,Ready To Move,Bannerghatta Road,5 BHK,GrnSpce,3976.0,5.0,3.0,241.62,5,6076.961770623742
Plot  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1582.0,3.0,2.0,101.06,3,6388.116308470291
Carpet  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1192.0,2.0,3.0,75.22,2,6310.402684563758
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1126.0,2.0,3.0,68.82,2,6111.9005328596795
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1261.0,2.0,2.0,84.2,2,6677.240285487708
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,995.0,2.0,2.0,61.02,2,6132.663316582914
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1268.0,2.0,2.0,77.74,2,6130.914826498422
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1146.0,2.0,2.0,67.36,2,5877.835951134381
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1170.0,2.0,2.0,68.89,2,5888.034188034188
Plot  Area,Ready To Move,Bannerghatta Road,5 BHK,GrnSpce,3964.0,5.0,1.0,253.73,5,6400.857719475278
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1282.0,2.0,3.0,84.48,2,6589.703588143526
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1074.0,2.0,0.0,68.02,2,6333.333333333333
Plot  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1636.0,3.0,1.0,104.12,3,6364.303178484108
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1134.0,2.0,3.0,71.94,2,6343.915343915344
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1289.0,2.0,1.0,87.18,2,6763.382467028704
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1920.0,3.0,1.0,118.05,3,6148.4375
Carpet  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,934.0,2.0,2.0,57.75,2,6183.083511777302
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1229.0,3.0,0.0,80.28,2,6532.139951179821
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1147.0,2.0,1.0,74.8,2,6521.360069747167
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1776.0,4.0,1.0,116.18,3,6541.666666666667
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1295.0,2.0,1.0,86.23,2,6658.687258687259
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1115.0,2.0,2.0,70.87,2,6356.053811659192
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,965.0,2.0,0.0,63.15,2,6544.041450777202
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1209.0,3.0,3.0,74.39,2,6153.019023986766
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1209.0,2.0,2.0,72.3,2,5980.14888337469
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1076.0,2.0,0.0,73.76,2,6855.018587360596
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1158.0,2.0,2.0,68.51,2,5916.234887737479
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,942.0,2.0,1.0,58.43,2,6202.76008492569
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1680.0,3.0,3.0,103.0,3,6130.952380952381
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1087.0,2.0,2.0,66.62,2,6128.794848206072
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1505.0,3.0,1.0,102.46,3,6807.97342192691
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1010.0,2.0,2.0,69.32,2,6863.366336633662
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1055.0,3.0,2.0,72.16,2,6839.810426540284
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1173.0,2.0,3.0,69.36,2,5913.04347826087
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1786.0,4.0,1.0,103.36,3,5787.234042553191
Plot  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1407.0,3.0,0.0,95.47,3,6785.358919687278
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1134.0,3.0,2.0,74.09,2,6533.509700176367
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,996.0,2.0,2.0,59.12,2,5935.74297188755
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1748.0,3.0,2.0,104.15,3,5958.237986270023
Carpet  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1135.0,2.0,3.0,69.72,2,6142.731277533039
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1124.0,2.0,3.0,67.68,2,6021.352313167261
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1071.0,2.0,2.0,71.19,2,6647.058823529412
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1157.0,3.0,0.0,67.89,2,5867.761452031115
Super built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,GrnSpce,554.0,2.0,0.0,32.21,1,5814.0794223826715
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1524.0,4.0,0.0,98.95,3,6492.782152230971
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1766.0,4.0,2.0,110.04,3,6231.030577576444
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,GrnSpce,2530.0,5.0,1.0,164.72,4,6510.671936758893
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1063.0,3.0,0.0,62.77,2,5904.985888993415
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1033.0,2.0,0.0,59.91,2,5799.612778315585
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1127.0,2.0,0.0,72.0,2,6388.642413487134
